ID,English Word,Tachelhit Expression
3380,indignant,ittekesn ixf/agayyu
3381,indignation,"tawkkast, tiwkkasin n ixf"
3382,indirect,ifreɣn
3383,indolence,"ahṛuṣṣu, ihṛuṣṣu"
3384,indolent,iẓḍayn/iẓayn
3385,indoor,n ugʷnes
3386,indoors,agʷnes
3387,indulge in,ṛẓem/lgem i ixf
3388,industrial,n usnuḍ/temskart
3389,industrious,ittiqqen
3390,industry,"1.Industry in the work and process involved in the making things in factories. Asnuḍ, isnuḍen"
3391,infinite,war ttemi/awwuttu
3392,inescapable,d-iqqann
3393,inert,ittesmn
3394,inevitable,bezziz
3395,inexperienced,amrmad
3396,infant,"bejjuk, id bejjuk֎֎ bijju, id bijju֎֎ tazzant, tazzanin֎֎ bejji, id bejji֎֎ tadrawt, tidrawin֎֎ bezzi, id bezzi֎֎ taslma, tislmawin֎֎ unkir, unkiren֎֎ unkir, unkiren֎֎"
3397,infantile,n tazzanin
3398,infantry,"tatrrast, titrrasin"
3399,infantryman,"atrras, itrrasen"
3400,infect,ɣumm
3401,infected,iqqersn
3402,infection,"tamaḍunt, timuḍan"
3403,infectious,itteɣumamn
3404,inferior,amzdar
3405,inferno,"tajaffut, tijuffa֎֎ tabuffut, tibuffin֎֎ tifgert, tifgar֎֎ tigniccut, tigunnac֎֎ taguffut, tiguffa֎֎ agelluy, igelluyen֎֎ taneggaffut, tinegguffa֎֎ tafegaggut, tifegguga֎֎ tafedaddit, tifedudda֎֎ tandaffut, tinduffa֎֎ tafragut, tifrugutin֎֎ aẓiẓen֎֎ aɣad, aɣaden֎֎"
3406,infertile,amaraø
3407,infidel,"war Ṛebbi, id war Ṛebbi"
3408,infinite,war ttemi/iwwutta/iggutta
3409,infinitive,amsuf
3410,infirm person,"akucam, ikucamen"
3411,inflate,suff
3412,inflation,"azzag, izzagen֎֎ abzzag, ibzzagen֎֎ asuff, isuffen֎֎ akuṭṭi, ikuṭṭiyen֎֎"
3413,inflexible,iɣafeln/iɣufeln
3414,inflict,fek
3415,inform,lleɣ
3416,informal,n bedda
3417,information,"anɣmis, inɣmisen"
3418,informer,"ackkam, ickkamen"
3419,informing,tackkamt
3420,infuriated,izɛfn
3421,infuse,ṛẓem
3422,ingot,"agṭṭum, igṭeman/igṭṭumen"
3423,ingredient,"asrgu, isgrʷa"
3424,inhabit,zdeɣ
3425,inhabitant,"amzdaɣ, imzdaɣen"
3426,inhale,sḍeṛfi/sḍeṛffi
3427,inherit,kkusu/kkus
3428,inheritance,"taysi, taysiwin"
3429,inheritor,"amkkasu/imkkisi, imkkusa/imkkasan"
3430,initiative,"tasfalant, tisfalanin"
3431,inject,"1.If a doctor or nurse injects you with a substance, they use a needle to put the substance into your body. Eg tissgnit/tassmi"
3432,injection,"tassmi, tassmiwin"
3433,injure,sskknser
3434,injured,itteyagasn
3435,injured person,"amagus, imugas"
3436,injury,"azlum, izlumen"
3437,ink,ssmeɣ
3438,inkpot,"taddwat, tiddwatin"
3439,inkwell,"taddwat, tiddwatin"
3440,inlay,qqim
3441,inn,"igʷiz, igʷizen"
3442,inner,n tuẓẓumt/iẓẓi/ammas/ugʷnes
3443,innocent,1.Not guilty of crime. Ur iskern yat
3444,inquire,saqqsa
3445,inquiry,"64 1.A question that you ask in order to get information. Aseqqsi, iseqqsiyen"
3446,insane,inufeln
3447,insane root,"waylillu, id waylillu (adm. is teccit waylillu lliɣ a fell-aɣ tecihlilt?)֎֎ 42"
3448,insatiable,ur ittejiwinn
3449,insect,"abxxuy, ibxxuyen, abxxuc, ibxxucen֎֎ abxxu, ibxxuten֎֎aḥuy, iḥuyen֎֎ abaxxa, ibaxxaten֎֎ afxxuy, ifxxuyen֎֎ axuy, axuyen֎֎"
3450,insecticide,"neɣ-bxxuy, id neɣ-bxxuy"
3451,insert,sskcem
3452,insignificant,ur ilan anamek
3453,insincere,"axndallas, ixndallasen"
3454,insincerity,taxndallast
3455,insist,gabel/qqabel
3456,insolent,isgnziyn/isfsawin
3457,insolence,"tasfsawit, tisfsawiyin"
3458,insolvent,amqqṛuṭ
3459,insomnia,"iwiz, iwizen"
3460,insomniac,igan bu-iwiz
3461,inspect,ggus/ggiwes
3462,inspire,ssiswingem
3463,install,eg
3464,instance,"1.A particular example or occurrence of something. Amdya, imdyaten"
3465,instead,ijla
3466,instep,"timceḍt, timceḍin n uḍaṛ"
3467,instinct,"taɣuri/taɣara, tiɣuriwin/tiɣariwin"
3468,instinctive,ilan taɣara/aẓuṛ ɣ
3469,institute,"asinag, isinagen"
3470,institution,"tirselt, tarsal"
3471,instruct,"1.If you isntruct someone to do something, you tell them to do it. Ini"
3472,instrument,"imiss, imassen"
3473,insufficiency,"alkkum, ilkkumen f"
3474,insufficient,idrusn
3475,insurance,"adwas, idwasen"
3476,insure,eg /ili adwas/asdwas/afrag
3477,insurrection,"taɣwwaɣt, tiɣwwaɣt"
3478,intact,ur yaɣ yat
3479,intelligence,"tanumert, tinumar"
3480,intelligent,immumin
3481,intend,"1.If you intend to do something, you have decided or planned to do it. Iri"
3482,intense,iktin
3483,inetisity,"jjhed, id jjhed"
3484,intesive,iggutn
3485,intention,"tirit, tiritin"
3486,intentional,ittuskarn s besmma/msmuε
3487,inentionnaly,besmma
3488,intercostal pain,"unus, inasiwen (mad. illa g-is unu igllin!)֎֎"
3489,intercourse,"anyalkam, inyalkamen n uzɛzzem"
3490,interested,mu/mi ifeka ixf/agayyu
3491,interesting,ittawin/icttan/ikccemn ixf/agayyu
3492,interfere,"1.If you interfere in a situation, you try to influence it, although it does not concern you. Kcem"
3493,interior,agʷnes
3494,interjection,"asḍuhyu, isḍuyuten"
3495,intermediary,"arqqas, irqqasen"
3496,intermediate,"arqqas, irqqasen"
3497,intermingle,smmṛìi
3498,internal,n ugʷnes
3499,international,abeṛṛan
3500,Internet,Internet
3501,interpret,"1.If you interpret what someone says or does, you decide what it means. Fek amnid/askkir"
3502,interpretation,"tufekka, tufekkʷin n umnid n wawal֎֎ tikki, tikkiwin n umnid n wawal֎֎ asfek, isfeken n uskkir n wawal֎֎"
3503,interrogate,saqqsa
3504,interrupt,"1.If you interrupt someone, you start talking while they are talking. Bbi awal"
3505,intersection,"ger-iøarasen, id ger- iøarasen"
3506,intersperse,smmṛìi
3507,interval,"1.A period of time between two events or dates. Tizi, tiziwin"
3508,intervene,kcem ɣ
3509,intestine,"1.The lower part of the alimentary canal from the end of the stomach to the anus. Iliwi, ilawan"
3510,intimacy,"taẓawt, taẓawin"
3511,intimate,"1.If two people are intimate, there is a close relationship between them. Iddukln"
3512,intimated,ikṣuḍn
3513,intimidate,huddu
3514,intimidation,"ahuddu, ihudduten"
3515,into,"1.If you go into a place or object, you go inside it. S"
3516,intolerance,"tar-asuref, id tar-asuref"
3517,intolerant,ur ittesalun
3518,intoxicate,su
3519,intrepid,icqqan
3520,introduce,"1.If you introduce something into a place or system, you cause it to exist there for the first time. Sskcem-d"
3521,introduction,"1.The introduction of something into a place or system is the act of causing it to exist there for the first time. Asskcem, isskcemen"
3522,introverted,iqqenn
3523,intuition,"agʷmman, igʷmman"
3524,inundate,ngi
3525,inundation,"angi, ingiyen"
3526,invade,add
3527,invalid,"amɛḍuṛ, imɛḍaṛ"
3528,invalid,ittutn f umya
3529,invariably,bedda
3530,invasion,"addad, addaden"
3531,invent,"1.If you invent something, you are the first person to think of it or make it. Sggru-d"
3532,invention,"1.An invention is a machine or system that has been invented by someone. Tasggrut, tissgrutin/tamsggrut, timsggrutin"
3533,invest,"1.If you invest money, you try to increase its value, for example by buying proprety or shares. Eg-nn"
3534,investigate,snusu
3535,investigation,"asnusu, isnusuten"
3536,investment,"asyafu, isyafuten"
3537,invisible,ur uttunnayn/uttuẓeṛṛan/uttumnadn
3538,invitation,"aɣuri, iɣuriyen"
3539,invite,"1.If you invite someone to an event, you ask them to come to it. Ɣer"
3540,invoice,"tamatart, timtarin/timitar n ufru/temsaɣt/tasaɣt"
3541,invoke,øer
3542,involved,"1.If you are involved in something, you are taking part in it or connected with it. Awes"
3543,iron fitter,"cckal, icckal"
3544,ironic,"1.If you make an ironic remark you say something that you not mean, as a joke. Isaḍṣan"
3545,irreel,ur illan
3546,irregular,ikenkern
3547,irreligious,war taflest
3548,irresistible,1.Uncontrollable. Ur ttagʷit/ur ittagʷi yan
3549,irrigate,ssu
3550,irrigated area,"talat, talatin"
3551,irrigation,"tissut, tissutin"
3552,irritate,ssɣli/all idammen/ṣṣkkʷaṛ
3553,irritation,"asbbuẓẓi, isbbuẓẓiyen"
3554,Islam,Lislam
3555,island,"tigzirt, tigzirin"
3556,isle,"tigzirt, tigzirin"
3557,isolated,1.An isolated place is a long way from large town and is difficult to reach. Yaggugn
3558,issue,"1.An important subject that people are talking about. Ammukris, immukrisen"
3559,itch,ecc
3560,item,"taɣawsa, tiɣawsiwin"
3561,item of clothing,"amkṛuḍ, imkṛaḍ"
3562,ivory,uẓeṛ
3563,jab,qqes/ɣes
3564,jacket,"1.A short coat. Tikbert, tikberin"
3565,jackrabbit,"awtil, iwtelan"
3566,jailhouse,"tin imuɣan, id tin imuɣan֎֎ tigemmi, tigʷmma n imuɣan֎֎ askref, iskraf֎֎ takermut, tikermutin֎֎ agʷdal, igʷdalen֎֎ aɣzzu, iɣzzuten/iɣzzwan֎֎ aɣzu, iɣzuten/iɣzwan֎֎ tabnniqt, tibnniqin֎֎ tin-imuɣan, id tin- imuɣan֎֎ tasraft, tasrafin֎֎ takkurmut, tikkurmutin֎֎ asargel, isargelen֎֎ asaqqen, isaqqenen֎֎ asameẓ, isameẓen֎֎ tillas֎֎ bi- iggurdan, id bi-iggurdan (iron.)֎֎ jam:  (n.) 1.A food made by boiling fruit and sugar together until it sets. Amaɣus"
3567,jamming,"asrkes, isrkesen"
3568,janitor,"atwwab, itwwaben"
3569,January,"innayer, id innayer"
3570,jar,"1.A wide-mouthed, cylindrical container made of glass or pottery, especially one used for storing food. Tabuqqalt, tibuqqalitn"
3571,jarful,tixibit
3572,jargon,"taqqjmit, tiqqjmitin"
3573,jaundice,sawraø
3574,jaw,"agʷja, agʷjiwen"
3575,jay,"ajaɣiɣ, ijaɣiɣen"
3576,jazz,jazz
3577,jealous,1.A jealous person feels angry or bitter because they think another person is trying to take a lover or friend away from them. Bu-tasmin
3578,jealousy,"taɛunkrit, tiɛunkriyin"
3579,jeans,"ddjinn, id ddjinn"
3580,jeer at,mlleɣ
3581,jerk,"1.If you jerk something, you give it a sudden, sharp pull. Jbed"
3582,jettator,"anmyaḍ, inmyaḍen"
3583,Jew,"uday, udayen"
3584,Jewish,n udayen
3585,jewel,"aqqcuc, iqqcucen"
3586,jewel buckle,"axlxal, ixlxalen"
3587,jewellery,iqqcucen
3588,Jewish,uday
3589,jewry,"tamaliḥt, timaliḥin"
3590,jinx,"tagat, tagatin"
3591,job,"1.The work that someone does to earn money. Tawwuri, tiwwuriwin"
3592,jobless,ur ilan tawwuri
3593,jockey,"amnay, imnayen"
3594,join,"1.If you join someone, you go to where they are. Lkem"
3595,join in,awes
3596,jolt,smass
3597,joss-stick,"nnad, id nnad"
3598,jostle,smass
3599,journal,"aɣmis, iɣmisen"
3600,journalist,"anɣmas, inɣmasen"
3601,journeyman,"amddakʷel, imddukʷal"
3602,joy,"1.A joy is a feeling of great happiness. Tumert, tumerin"
3603,judgment,"1.An opinion that you have after thinking carefully about something. Awnni, iwnnan"
3604,jug,"1.A large container for liquids, with a narrow mouth and typically a stopper or cap. Aɣʷrraf, iɣʷrrafen"
3605,jugful,tixibit
3606,juggler,"ahyyaḍ, ihyyaḍen"
3607,juice,aman
3608,jujube,"azggʷar, izggʷaren"
3609,July,"yulyuz, id yulyuz"
3610,jumper,"1.A knitted piece of clothing for the top half of the body. Amgiger, imgugar"
3611,june,"yunyu, id yunyu"
3612,jungle,"tagant, taganin"
3613,junior,1.A junior official or employee holds a lower position in an organization. Imẓẓiyn
3614,juniper,"tiqqi, tiqqiwin"
3615,junk,"aqqjdaw, iqqjdawen"
3616,jury,"anzzarefu, inzzurefa"
3617,justice,"tiɣdemt, tiɣdemin"
3618,jusfitication,"assiɣʷẓin, issiɣẓinen"
3619,justify,ssiɣʷẓin
3620,kangaroo,"akunguru, ikunguruten (and. ur jju cciɣ tifeyyi n ukungur)֎֎"
3621,kebab,"kabab, id kabab"
3622,keen,1.Somone who is keen is enthusiastic about something. Iqqurn
3623,keep,1.To keep someone or something in a particular condition or place means to make them stay in that condition or place. Ajj
3624,keep at,zzugʷez
3625,keep down,kri
3626,keep off,anef
3627,keep to,ameẓ
3628,keep up,zzugʷez
3629,kernel,"tiẓnint, tiẓninin"
3630,kestrel,"tayninna, tiyninnawin"
3631,kettle,"aqqnqum, iqqnqumen"
3632,keyboard,"tiflut, tifultin n tesura֎֎ talluḥt, tillwaḥ n tesura֎֎ tin tesura, id tin tesura֎֎ tin tirra, id tin tirra֎֎"
3633,keyhole,"imi, imawwen n tesarut֎֎ ticnbbit, ticnbba n tesarut֎֎ tabʷggayt, tibʷggayin n tesarut֎֎ tiṭṭt, tiṭṭawin n tesarut֎֎ kick:  (v.) 1.If you kick someone or something, you hit them with you foot. Ut s uḍaṛ/tiqqert"
3634,kick off,ssfal
3635,kick out,sfuqqer
3636,kidnap,sker agzdu
3637,kidnapper,"amsgzdu, imsgzduten"
3638,kidnapping,"agzdu, igzdwan"
3639,kidney,"tagẓẓelt, tigẓẓal"
3640,kill,"67 1.If someone kills a person, animal, or plant, they cause them to die. Neɣ"
3641,killed person,"iniɣi, inaɣan"
3642,killer,"bi-inaɣan, id bi-inaɣadn"
3643,killer whale,"axʷccan, ixʷccanen"
3644,kiln,"afarnu, ifurna"
3645,kilo,"kilu, id kilu֎֎"
3646,kilogram,"kilugṛam, id kilugṛam"
3647,kilometre,"kilumiṭṛ, id kilumiṭṛ"
3648,kindling,"akccuḍ, ikccuḍen"
3649,kindness,"tamimt, timimin"
3650,kingdom,"tagledit, tigleditin"
3651,kinship,idammen
3652,kissing,"asudem, isudemen"
3653,kit,imassen
3654,kitchen,"anwal, inwalen"
3655,kite,"1.A toy consisting of a light frame with thin material stretched over it, flown in the wind at the end of a long string. Tabɣaynuzt, tibɣaynuzin"
3656,kitten,"aknawaz, iknawazen"
3657,knapsack,"acwari, icwariyen"
3658,knead,nneḍ
3659,knee,"afud, ifadden"
3660,kneecap,"tagctrirt, tigctririn n ufud/wafud"
3661,kneeding trough,"ahrray, ihrrayen"
3662,kneel,mred
3663,kneel down,mred
3664,knickers,"ddu-ibrdan, id ddu-ibrdan"
3665,knit,gnu
3666,knob,"afus, ifassen n waggur"
3667,knock down,ssuss
3668,knock-kneed,amucal
3669,knock out,qqleb
3670,knock over,nges
3671,knot,"1.A fastening made by passing one end of a piece of string or fabric throught a loop and pulling it tight. Tagʷlilt, tigʷlilin"
3672,knotted,bu-wakʷaḍen
3673,know,"1.If you know something, you have it in your mind and you do not need to learn. Ssen"
3674,know-how,"tussena, tusseniwin"
3675,knowledge,"tussena, tusseniwin"
3676,laboratory,"asiram, isiramen"
3677,labourer,"imkiri, imkiriyen/imkaran"
3678,laburnum,"talggut, tilggʷa"
3679,lad,"aɛddar, iɛddar֎֎ aɛzdaffu, iɛzduffa֎֎"
3680,ladder,"taskala, taskaliwin"
3681,ladle,"aøʷnja, iøʷjniwen"
3682,lady,"Lalla, id Lalla"
3683,lady-killer,"bu-tesqqart, id bu- tesqqart֎֎ imsqqer, imsqqeren֎֎ bu-tefrexin, id bu-tefrexin֎֎ bu- temɣarin, id bu-temɣarin֎֎ aẓllal, iẓllalen֎֎ anẓṭṭim, inẓṭṭimen֎֎ anẓḍim, inẓḍimen֎֎ bu-tebaslit, id bu- tesbaslit֎֎ igider, igaderen֎֎"
3684,lake,"agʷlmim, igʷlmimen"
3685,lamb,"alqqaɛ, ilqqaɛen"
3686,lamp,"inir, iniren"
3687,lame,igan abiḍaṛ/arjdal/amucal
3688,lameness,abiḍeṛ
3689,lament,alla
3690,lament over,sɣuyyu
3691,lamentation,"agjdur, igjduren"
3692,lance caporal,"kabṛan, id kabṛan"
3693,landing,"68 1.A flat area at the top of a set of stairs in a building. Taduli, tiduliwin"
3694,landscape,"asannay, isannayen"
3695,languor,"taluɣi, tiluɣiwin"
3696,lane,"1.A narrow road, especially in the country. Taɣarast, tiɣarasin"
3697,lane track,"abarqqa, ibarqqaten"
3698,language,"82 1.Human communication by systems or written symbols, spoken words, and movements. Ils, alsiwen"
3699,lantern,"lfnaṛ, id lfnaṛ"
3700,lap up,lleɣ
3701,lapidate,zug z uẓṛu
3702,lapwing,"taylalt, taylalin n temzgida"
3703,large,irrutn
3704,large intestine,"abεlul, ibεlal"
3705,largely,bahra
3706,lark,"alɛyuḍ, ilɛyuḍen"
3707,larva,"aḥuy, iḥuyen֎֎ abxxuy, ibxxuyen֎֎ abxxuc, ibxxucen֎֎ abaxxa, ibaxxaten֎֎ afxxuy, ifxxuyen֎֎ awwan, awwanen֎֎ titknin֎֎ wawwan, id wawwan֎֎ agaymru, igaymruten֎֎ axuy, axuyen֎֎ wawan ֎֎ awan֎֎ titknt, titknin֎֎"
3708,larynx,"tagemmut/taqqurrit, tigʷmma/tiqqura n taqqayt"
3709,laser,laẓeṛ
3710,lash,"taṣeṭṭat, tiṣeṭewin n wallen"
3711,lash out,fek tafuqqer/tifqqar
3712,lastborn,"amaẓuẓ, imaẓuẓen"
3713,lately,ɣ igariwen-ad/isggʷra-ad
3714,lateness,"amuttel, imuttelen"
3715,latest,iggʷran
3716,latex,aɣu
3717,lather,"aluffi, iluffiyen"
3718,lathyrus,ikiker n igḍaḍ
3719,Latin,tutlayt talatint
3720,laughing stock,"taḍṣa, taḍṣiwin"
3721,laughter,"taḍṣa, taḍṣiwin"
3722,launch,1.To launch a ship means to put it into wate for the first time. Rẓem/lgem ɣ waman
3723,laundry,"1.A laundry is a business that washes and irons clothes and sheets. Tamssridt, timssiredin"
3724,laurel,"tasselt, tissal"
3725,lavatory,"aradab, iradaben֎֎ taxʷrbict, tixʷrbicin֎֎ tigemmi n waman֎֎ ddu tegemmi֎֎ andas, indasen֎֎ axrur, ixruren֎֎ ajmir, ijmiren֎֎ abdduz, ibdduzen֎֎"
3726,lavender,"igigiẓ, igigiẓen"
3727,law,"1.The law is the system of rules developed by the government of a country, which tells people what they are allowed to do. Azref, izrefan"
3728,lawn,tamusayt
3729,lawsuit,"amṣiṛiḍ, imṣiṛiḍen"
3730,lawyer,"amnɛaṛ, imnɛaṛen"
3731,lay,"1.When you lay something somewhere, you place it there. Sres"
3732,lay off,sffeɣ/ḍi tawwuri
3733,lay up,gun/gʷin
3734,layabout,"amɛgaz, imɛgazen"
3735,layer,"afus, ifassen"
3736,laziness,"ahṛuṣṣu, ihṛuṣṣu"
3737,lazy,ihṛuṣṣan
3738,lazybones,"amɛgaz, imɛgazen"
3739,leaf,"ifr, ifrawen"
3740,leaflet,"tanfult, tinfulin"
3741,league,"amqqen, imqqanen"
3742,lean back against,ssnned
3743,lean over,knu
3744,learn,"1.When you learn something, you gain knowledge or a skill through study or training. Ɣer"
3745,learner,"amḥḍaṛ, imḥḍaṛen"
3746,learning,"almmud, ilmmuden"
3747,leather,"ilm, ilmawen"
3748,leather knife,"tacfert, ticferin"
3749,leather seller,"amllax, imllaxen"
3750,leaven,tamttent
3751,lecture,"tinawt, tinawin"
3752,leech,"taḍḍit, tiḍḍa"
3753,left-wing,n uẓlmaḍ
3754,leftover,"agaluz, igaluzen"
3755,leg,"1.Your legs are the two long parts of you body ghat you stand on and walk with. Abacil, ibacilen"
3756,leg warmers,"aýugýuḍ, iýugýaḍ"
3757,legacy,"taysi, taysiwin"
3758,legal,1.Relating to the law. N uɣaras/uzref
3759,legend,1.A very old and popular story. Umiyyen
3760,legendary,"1.Of, described in, or based on legends. N umiyyen/ḍḍmin"
3761,legitimate,azrefan
3762,leisure,"asunfu, isunfuten"
3763,lemon,"allim, illimen"
3764,lemon tree,"tazznbuḥt, tizznbuḥint"
3765,lemonade,aman n ullim/uzznbuḥ֎֎
3766,lend,"1.If you lend someone something or lend it to them, you let them have if for 69 a period of time. Fek"
3767,Leo,izm/agrzam
3768,leopard,"agrzam, igrzamen"
3769,lengthen,ssimɣur
3770,lens,"tisiyt, tisiytin"
3771,lentils,tilintit
3772,lesbian,"taḥeẓmṛuḍt, tiḥeẓmṛuḍin"
3773,lesson,"1.A fixed period of time during which people are taught. Tamssiredt, timssiredin"
3774,let,"1.If you let someone do something, you allow them to do it. Ajj"
3775,let down,fsi/bsi
3776,let sb into,sskcem
3777,lethal,ineqqan
3778,letter,"1.A message written on paper and sent to someone, usually through the post. Tabratt, tibratin"
3779,lettuce,adɣurni֎֎ tanfust֎֎ tamafart֎֎ azgziw֎֎ tafnust֎֎ mafar֎֎
3780,levee,"aṛḍaḍ, aṛḍaḍen"
3781,level out,sgadda
3782,lever,"asargʷ/asargu, isurgʷa"
3783,lewd,immattin/immuttin
3784,lewdness,gar awal/iwaliwen/tajmmaεt
3785,liable,"1.If you say that something is liable to happen, you mean that it will probably happen. Zund walu/amya"
3786,liar,"amskarkes, imskarkesen֎֎ bu-tekerkas, id bu-tekerkas֎֎ bab n tekerkas, id bab n tekerkas֎֎ axʷmmar, ixʷmmaren֎֎ bi-ixʷmmiren, id bi-ixʷmmiren֎֎ bab n inxʷmmiren, id bab n ixʷmmiren֎֎ atennaẓ, itennaẓen֎֎ bab n tatennaẓt/tteneẓ, id bab n tetennaẓt/tteneẓ֎֎ bu- tetennaẓt/tteneẓ, id bu- tetennaẓt/tteneẓ֎֎ libel:  (n.) 00 1.A false and malicious statement about a person. Ijrman"
3787,libeller,"anuwwac, inuwwacen"
3788,libellous,igan anuwwac/bi- iwnnan/bi-ijrman
3789,liberal Democrat,"alibiral adimukrat, ilibiralen adimukraten"
3790,liberty,"tadrfit, tifdritin"
3791,Libra,astal
3792,library,"takafut, tikafutin/tikufa"
3793,Libya,Libya
3794,license,ili/ṭṭef tayji/turagt/tajawt
3795,lick,lleɣ
3796,licker,"mlleɣ, id mlleɣ"
3797,lid,"tasngʷrt, tisngʷar֎֎ taslgʷert, tislgʷar֎֎ timdlt, timdlin֎֎ tasmdlt, tismdlin֎֎ tasmtu, tismutin֎֎ tasqqunt, tisqqunin֎֎ tasɣunt, tisɣunin֎֎ tasqqent, tisqqan֎֎ asddul, isddulen֎֎ asdel, isdal֎֎"
3798,lie,"1.If someone or something lies somewhere, they rest there in a flat 70 position. Ẓẓel"
3799,lie down,ẓẓel
3800,lie fallow,bur
3801,lie low,lɣes
3802,life,"1.Life is the state of being alive. Tudert, tuderin"
3803,lifestyle,"taɣarast, tiɣarasin n tudert֎֎ taḍfuṛi, tiḍfuṛiwin ɣ tudert֎֎"
3804,lifetime,"tudert֎֎ tiɣzi n tudert֎֎ lift: 70  (v.) 1.If you lift something, you move it to a higher position. All"
3805,lift up,all
3806,light blue,"aẓṛwal, iẓṛwalen"
3807,light up,ssisfiw
3808,lighthouse,"tanḍaft, tinḍafin"
3809,lighten,"1.Make or become lighter in weight, pressure, or severity. Ssifsus"
3810,lighter,"asnfed, isnfad֎֎ aqarcad, iqarcaden֎֎ acanna, icannaten֎֎ 04 acana, icanaten֎֎ imicc, imicciten֎֎"
3811,lighting,"asfiw, isfiwen"
3812,lightning,usman
3813,ligue,"amqqun, imqqan/imqqanen"
3814,likely,irwas
3815,likewise,ura/ula/wala
3816,liking,"ixf, ixfawen"
3817,limb,"agmam, igmamen"
3818,limited,imikk
3819,limpet,"tiṭṭt, allen n teɣyult"
3820,line up,sker akabaṛ/tawala
3821,lineage,"aẓuṛ, iẓuṛan"
3822,liner,"tanawt, tanawin"
3823,linnet,"akʷlkla, ikʷklaten"
3824,lion,"izm, izmawen"
3825,lion cub,"aknuz, iknaz n izm"
3826,lip,"1.Either of the two fleshy parts that form the upper and lower edges of the opening of the mouth. Axmum, ixmumen"
3827,lipstick,baẓggʷaɣ n infuren/imi
3828,liquid,aman
3829,liquidate,"1. Eliminate, typically by violent means; kill. Neɣ"
3830,liquidizer,"tamsmkrest, timsmrkesin"
3831,listen,ssfled
3832,listener,"amssflid, imssliden"
3833,literaly,akkʷ
3834,literary,n teskla
3835,literature,"taskla, tiskliwin"
3836,little bag,"takmmust, tikmmusin"
3837,little donkey,"asnus, isnas"
3838,little finger,"yamna mẓẓiyn, id yamna mẓẓiyn"
3839,livable,n tezduøt
3840,live,1.To live means to be alive. Dder
3841,lively,iddern
3842,liver,"tasa, taswin"
3843,liver fluke,"tabrrwit, tibrrwitin"
3844,living room,"aḥanu, iḥuna n uskkuyes/igiwer"
3845,lizard,"iqqjder, iqqjderen"
3846,lullaby,"asnuhnnu, isnuhnnuten"
3847,lumberjack,"anzdam, inzdamen"
3848,loaf,"tangult, tingʷal n uɣrum֎֎ tawllat/tawllit, tiwllatin/tiwlla n uɣrum֎֎ tunnirt, tunnirin n uɣrum֎֎ ubbic, ubbicen n uørum֎֎ agzzum, igʷzman n uørum֎֎ tazbut, tizbutin n uɣrum֎֎"
3849,loafer,"amɛgaz, imɛgazen"
3850,loathe,ḥaca
3851,lobe,"takurut, tikurutin"
3852,lobster,"taruct, tirucin/tirac n ill֎֎ taruct, tirucin/tirac waman֎֎ azeffam, izeffanen֎֎ asffan, isffanen֎֎ tikkurzma, tikkurzmiwin֎֎"
3853,lobule of liver,"aḍaḍ, iḍuḍan n tasa"
3854,locate,"1.If you locate someone or something, you find them. Af"
3855,location,"tilawt, tilawin"
3856,locker,"algʷiṛaṛ, ilgʷiṛaṛen"
3857,locum,"imiddzi, imddziyen"
3858,locust,"tammurqqict, tammurɣi"
3859,lode,"aẓaẓẓel, iẓuẓẓal"
3860,log,"aṣṣkkiḍ, iṣṣkkiḍen֎֎ talabut, tiluba֎֎ ala, alaten֎֎ tultt, tulawin֎֎ ifiṭ, ifiṭen֎֎ tifressit, tifressa֎֎"
3861,logic,"azggi, izggiyen"
3862,logical,izggin
3863,loft,"tagnart, tingarin"
3864,loin,"akrum, ikrumen"
3865,lone,yan
3866,lonely,"1.If you are lonely, you are anuhappy because you feel alone. Awlawal"
3867,long for,iri
3868,long-sighted,"1.Unable to see things clearly, especially if they are relatively close to the eyes. ibukeḍn/iddreøln"
3869,long-sightedness,abukeḍ
3870,longer,"tawriyyit, tiwriyya"
3871,loo,"aradab, iradaben֎֎ taxʷrbict, tixʷrbicin֎֎ taɣendmmut, tiɣemmutin֎֎ tafrayt, tifrayin֎֎ taqjemt, tiqjemin֎֎ tigemmi n waman֎֎ ddu tegemmi֎֎ andas, indasen֎֎ axrur, ixruren֎֎ ajmir, ijmiren֎֎ look:  (v.) 1.If you look in a particular direction, you turn you eyes in order to see what is there. Smaqqel"
3872,look after,gabel
3873,look down,ader i wallen
3874,look for,siggel
3875,look forward to,iri bahra
3876,look like,irwis
3877,look out,ha-nn!
3878,looklike,"imiddzi, imiddziyen"
3879,lookout,"1.A place from which to keep watch or view landscape. Accbaṛ, iccbaṛen (amd yumeẓ ukan accbaṛ)֎֎ agʷddim, igʷddimen"
3880,loose-fitting,imqqur/ixater
3881,loosen,salu
3882,loosen up,mmiẓẓeg
3883,loot,ecc
3884,lord,"amsuger, imsugeren֎֎ anmɣur, inmɣuren֎֎ amɣar, imɣaren֎֎ asmɣur, ismɣuren֎֎"
3885,lorry,"akaṛṛu, ikuṛṛa֎֎ akamyu, ikamyuten֎֎ alkamyu, ilkamyuten֎֎ amkkalu, imkkaluten֎֎ amasay, imassayen֎֎ amall, imallen֎֎ 71"
3886,lose,"1.If you lose something, you cannot find it, or you no longer have it because it has been taken from you. Jlu"
3887,loss,"tijlut, tijlutin"
3888,lost,"1.If you are lost, you do not know wehre you are. Ijlan"
