ID,English Word,Tachelhit Expression
293,appointment,"1.An arrangement you have with someone to meet them. Anmuqqar, inmuqqaren"
294,appreciate,"1.If you appreciate something, you like it because of its good qualities. Zri"
295,apprentice,"amḥḍaṛ, imḥḍaṛen"
296,apprenticeship,"almmud, ilmmuden"
297,appropriate,yucka-d
298,approval,"1.Approval is agreement given to a plan or request. Assacka, issackaten"
299,approve,"1.If you approve of something or someone, you think that thing or person is acceptable or good. Iri"
300,approximatively,mad itteggan
301,April,"ibril, id ibril֎֎ ayyur, iyiren wiss kkuẓ֎֎"
302,apron,"tabanta, tibantiwin"
303,Aquarius,aga
304,aqueduct,"targʷa, tirggʷin/tirggʷa"
305,aquiline,ikʷnan
306,Arab,"Aɛṛab, Aɛṛaben/Iɛṛaben"
307,aquatic,n wakal d waman
308,arbovitae,aẓuka
309,arbutus,"adddag, addagen n sasnu/wasasnu"
310,arbutus berry,"sasnu, id sasnu"
311,archaic,igan aqqbur/axbur
312,archaism,"tixubra/tiqqubra, tixubriwin/tiqqubriwin"
313,Archbishop,"waggag, id waggag n Iṛumiyen"
314,architect,"amskaw, imskawen"
315,architecture,taskawt
316,archive,"timḥḍit, timḥḍitin"
317,area,"1.A particular part of a place, country, or the world. Tasga, tisggʷin"
318,arena,"asrir, isriren"
319,argan,1.A plant endemique to the South-West of Morocco. Argan
320,argot,"taqqjmit, tiqqjmitin"
321,argue,"69 1.If you argue with someone about something, you disagree with them about it, sometimes in angry way. Saqqur"
322,argument,"1.If people have an argument, they disagree with each other, often angrily. Taẓit"
323,argumentation,"asnẓi, isnẓiyen"
324,arid,iqqurn
325,aridity,"taɣart, taɣarin"
326,Aries,izimmer
327,armchair,"asamu, isuma"
328,armed,iqlledn
329,armful,"iøil, iøallen"
330,armless,bi-ifassen
331,armpit,"ddu taytt, id ddu taytt"
332,army,"aswag, iswagen"
333,aroma,"aḍu, iḍaggʷen"
334,arrange,"1.If you arrange to do something, you make plans to do it. Ḥiyyel"
335,arrival,"alkkum, ilkkumen"
336,arrive,"1.When you arrive somewhere, you reach it at the end of you journey. Lkem"
337,arrogance,"taɛunkrit, tiɛunkritin"
338,arrogant,yusin/igan bbux
339,arrow,"wassṛemṭ/wassremt, id wassṛemṭ/wassremt"
340,arrow-loop,"cckʷel, id cckʷel"
341,arse,"tiṭṭt, tiṭṭawin n uṣuḍ"
342,arsenic,astci
343,art,"1.Art is the activity of creating objects such as paintings, sculpture, music… Taẓuṛi, tiẓuṛiwin"
344,artery,"aɣaras, iɣarasen"
345,artemisia,izri
346,arthritis,"tamaḍunt, timuḍan n tewurmin"
347,artichoke,"tagemmut, tigʷmma/tigmmutin n tagant"
348,article,"1.A piece of writing in a newspaper or magazine. Arra, arraten"
349,article of clothing,"amkṛuḍ, imkṛaḍ"
350,artificial,n ufus
351,artilleryman,"aṭubýi, iṭubýiyen"
352,artist,"anaẓuṛ, inaẓuṛen"
353,artistic,igan win teẓuṛi
354,arum lily,ayrni
355,as long as,maḥdd
356,ascend,ɣʷli/ɣli
357,ascent,"1.A climb or walk to the summit of a mountain or hill. Aɣlay, aɣlayen"
358,ash,iɣed
359,ashamed,"1.If you are ashamed, you feel embarrassed or guilty. Nnukmu"
360,ashtray,"tin-iɣed, id tin-iɣed֎֎"
361,Asia,Asiya֎֎ amnẓaw n Usiya֎֎ Asian:  (adj.) 1.Belonging or relating to Asia. Win Asiya
362,aside,f usga/tesga
363,ask,"1.If you ask someone a question, you put a question to them for them to answer. Saqqsa"
364,asparagus,"azdu, izduten"
365,aspect,"udm, udmawen"
366,asphodel,"iɣri, iɣriyen"
367,aspire to,iri
368,ass,"1. A hoofed mammal of the horse family with a braying call, typically smaller than a horse and with longer ears. Aøyul, iøwyal"
369,assassin,"bi-inaɣan, id bi-inaɣadn"
370,assemble,"1.If the people assemble, they gather together. Mun-d"
371,assembly,"1.A group of people gathered together in one place for a common purpose. Agraw, igrawen"
372,assert,eg d tidt/teɣʷẓni
373,asesertion,"assiɣʷẓin/ azziɣʷẓin, issiɣʷẓinen/ izziɣʷẓinen"
374,assess,arem
375,assist,awes
376,assistance,"tiwisi, tiwisiwin"
377,assistant,"amawas, imawasen"
378,association,"1.An organization for people who have the similar interests, jobs, or aims. Tamsmunt, timsmunin"
379,assortment,"tafustt, tifassin"
380,assume,"1.Suppose to be the case, without proof. Ini"
381,assumption,"aɣal, aɣalen"
382,assure,"1.If you assure someone that something is true, you tell them it is true. Fek awal"
383,asthma,tamaḍunt n teɣufi
384,astonishing,issuhumn
385,astounded,ifteln
386,astrology,tiqqiffit
387,astronaut,"imitri, imitran"
388,astronomer,"imitri, imitran"
389,astronomy,tawssena n itran/ingʷna
390,astute,ittefukksn
391,at,1.You say ‘at’ to say where someone or something is. Ɣ
392,atheism,"tar-Ṛebbi, id tar-Ṛebbi"
393,atheist,"u war-Ṛebbi, ayt war-Ṛebbi"
394,athlete,"amdus, imdusen"
395,athletics,uraren n tedusi
396,atmosphere,"1.The air and other gases that surround a planet. Azmez, izmaz"
397,atom,"tasswit, tisswitin"
398,atomic,n tesswit
399,attach,ass
400,attend,"1.If you attend an event, you are present at it. Ili"
401,attendant,"amnawal, imnawalen"
402,attention,"1.If you give something you attention, you look at it, listen to it, or think about 8 it carefully. Adwal, idwalen"
403,attentive,iduln
404,attic,"tasqqift, tisqqifin"
405,attire,les
406,attitude,"addad, addaden"
407,attorney,"amnɛaṛ, imnɛaṛen"
408,attract,"1.If something attracts people, it interests them and makes them want to go to it. Awi"
409,attraction,"1.Attraction is a feeling of liking someone or something very much. Tayri, tiyura"
410,attractive,1.Someone who is attractive is pleasant to look at or be with. Ifulkin/iɣudan/icwan
411,aubergine,"biṭlýan, id biṭlýan"
412,auction seller,"adllal, idllalen"
413,audacity,"tasa, taswin"
414,audience,"medden (mad. azul akkʷ i mdden nneø!)֎֎ agdud, igduden"
415,audition,"Assfled, issfleden"
416,auditor,"amssflid, imssfliden"
417,auger,"lbrrimt, id lbrrimt"
418,augur,"inqqifi, inqqifiten"
419,August,"ɣuct, id ɣuct"
420,aunt,"1.Sister of your father. Ibba, id ibba"
421,aureole,"annrar, innraren/innrura"
422,Australia,Uṣṭṛalya֎֎ tamazirt n Uṣṭṛalya֎֎ Australian:  (adj.) 87 1.Belonging or relating to the Australia. N Uṣṭṛalya
423,authentic,n tidt/tiddt
424,author,"amara, imaraten"
425,authority,"izm, izmawen"
426,autodidact,"amssɣer, imssɣeren n ixf/iman/ugayyu"
427,automatically,ɣik-ann
428,automobile,"tamubil, timubilin"
429,autonomous,asiman/aẓḍeṛiman
430,autonomy,"tasimant, tisimanin"
431,autumn,"amnzuy, imzuyen"
432,avarice,"taɣart, taɣarin"
433,avenge,fru tt inn g-is
434,avenue,"aɣaras, iɣarasen"
435,avoid,"1.If you avoid doing something, you make an effort not to do it. Rur"
436,avoidance,"unuf, unufen"
437,awake,d-iduyn
438,awarder,"adllal, idllalen"
439,aware,"1.If you are aware of something, you know it. Issenn"
440,away,91 1.Moving from a place. S
441,awful,ixʷcenn
442,awful,iɛifn
443,awkward,1.Difficult to deal with. Icqqan
444,awkwardness,"annukmu, innukmuten"
445,awl,"ccfi, id ccfi"
446,axilla,ddu taytt
447,axis,"taskʷtit, tikʷtitin"
448,axle,"taɣʷda, taɣʷdiwin"
449,baby,"bjjuk, id bjjuk"
450,baby bird,"afraray, ifrarayen"
451,baby donkey,"asnus, isnas"
452,babysit,mater/gabel/qqabel/buder/ḍuf tazzant/bjjuk
453,bachelor,"azufri, izufriyen"
454,back out,miciwwiṛ
455,back up,ssiɣʷẓin
456,backache,"aṭṭan, aṭṭanen n ukrum"
457,backbite,jrrem
458,backbone,"iẓḍi/izdi, iẓḍiyen/izdiyen n tadawt"
459,background,9 1.The things in a picture or scene that are less noticeable that the main things. Tiɣʷrdin/tikʷrmin/ḍaṛat
460,backing,"tanilt, tinilin"
461,backpack,"tacckaṛt, ticckaṛin n teɣʷṛaḍ"
462,backward,1.Backward means directed behind you. N teɣʷrdin/tekʷrmin/ḍaṛat
463,bacon,tifyyi iqqurn n ilf
464,bad,1.Unpleasant or upsetting. Ixʷcen
465,bad-looking,iɛifn
466,bad luck,"tazdayt, tazdayin"
467,bad-mannered,bu-gar-tankera
468,bad manners,gar tankera
469,badminton,badmintun
470,bag,"asgres, isgras"
471,baggage,"allal, allalen"
472,baggy,imqqurn
473,bait,"asnsi, isnsiyen"
474,bake,ssnu
475,baker,"bu-uɣrum, id bu-uɣrum"
476,bakery,"afṛṛan, ifṛṛanen"
477,balcony,"akʷfaf, ikʷfafen"
478,bald,"amýýuḍ, imýýaḍ"
479,baldness,aýýiḍ (mad. illa g-is waýýiḍ)֎֎ asray
480,ball,"1.A round object used in games. Takurrt, tikurin"
481,ball of couscous,"aεbbud, iεbbuden"
482,ballet,"abali, ibaliyen"
483,balloon,"abawal, ibawalen"
484,bamboo,"aɣalim, iɣalimen"
485,banal,ur ittumnidn
486,banana,ikʷiḍ
487,band,"1.A group of musicians. Tarabbut, tirubba"
488,bandy-legged,amucal
489,bangle,"tanbaylit, tinbayliyin"
490,banish,zzug
491,banister,"anbdad, inbdaden"
492,bank,"1.A business that looks after people’s money: agadir, igudar/igadiren"
493,bank holiday,tigga
494,bankrupt,iqqeṛṭn
495,bankprutcy,"aqqṛaṭ, iqqṛaṭen"
496,banner,"acddad, icadden"
497,bar,"03 1.A counter or room where alcoholics drinks are served. Tin-unẓiẓ, id tin-unẓiẓ"
498,barb,iẓḍi¸iẓḍiyen
499,barber,"aḥjjam, iḥjjamen"
500,barbercue,azenɣuz
501,barber,"aḥjjam, iḥjjamen"
502,barberry,"aɣzzur, iɣzzuren"
503,bard,"ṛṛayṣ, id ṛṛayṣ"
504,bare,"1.If a part of your body is bare, it is not covered by any clothing. Izzefn"
505,barely,1.Only just; almost not. Ɣar
506,barking,"tawaɣt, tawaɣin"
507,barley,tumẓin
508,barn,"tagrurt, tigrurin"
509,barnyard,"tagrurt, tigʷrar"
510,barracks,"taqqʷclit, tiqqʷciliyin"
511,barrel,"1.A conainter with rounded sides and flat ends. Azattin, izittan"
512,barren,amaraø
513,barrier,"aṛḍaḍ, aṛḍaḍen֎֎ abadu, ibuda֎֎ taddrit, tiddritin ֎֎ ddri, id ddri ֎֎ tadderst, tiddersin֎֎ ifrig, ifregan֎֎ iẓiki, iẓikiten/iẓakaten֎֎ aginan, iginanen֎֎ azrib, izriben֎֎ tacaqert, ticuqar֎֎ aglluy, iglluyen֎֎ aḍeṛṛaṣ, iḍeṛṛaṣen֎֎ aɣrram, iɣrramen֎֎ taɣuni, tiɣuniwin֎֎ tifikkect, tifikkac֎֎ tifikkit, tifikkitin֎֎ anblad, indladen֎֎…"
514,barrister,"amnɛaṛ, imnɛaṛen"
515,baseball,tawýýa n teɣʷda
516,basement,"tasila, tisiliwin"
517,basement window,"tunfust, tunfusin"
518,bascially,yat ukan
519,basil,"taɣnsit, tiɣnsiwin"
520,basin,"tafrawt, tifrewin"
521,basis,"1.The basis of something is the essential or main principle for which it can be developed. Tasila, tisiliwin"
522,basket,"taryalt, taryalin"
523,basketball,tawýýa n teskint/usken
524,basketry,"tawwuri, tiwwuriwin n taryalin/wasskaren"
525,basketwork,"tawwuri, tiwwuriwin n taryalin/wasskaren"
